Player,AllStar_MVP
Adrian Smith,1
Allen Iverson,2
Anthony Davis,1
Bill Russell,1
Bill Sharman,1
Bob Cousy,2
Bob Lanier,1
Bob Pettit,4
Charles Barkley,1
Chris Paul,1
Dave Bing,1
Dave Cowens,1
David Thompson,1
Dwyane Wade,1
Ed Macauley,1
Elgin Baylor,1
George Gervin,1
George Mikan,1
Glen Rice,1
Hal Greer,1
Isiah Thomas,2
Jerry Lucas,1
Jerry West,1
John Stockton,1
Julius Erving,2
Karl Malone,2
Kevin Durant,1
Kevin Garnett,1
Kobe Bryant,4
Kyrie Irving,1
Larry Bird,1
LeBron James,3
Lenny Wilkens,1
Magic Johnson,2
Michael Jordan,3
Mitch Richmond,1
Nate Archibald,1
Oscar Robertson,3
Paul Arizin,1
Ralph Sampson,1
Randy Smith,1
Rick Barry,1
Russell Westbrook,2
Scottie Pippen,1
Shaquille O'Neal,3
Tim Duncan,1
Tom Chambers,1
Walt Frazier,1
Willis Reed,1
Wilt Chamberlain,1
