Player,Birth Year,Final,Champion
A.C. Green,1964.0,5,3
A.J. Bramlett,1977.0,0,0
A.J. English,1968.0,0,0
A.J. Guyton,1979.0,0,0
A.J. Hammons,1993.0,0,0
A.J. Price,1987.0,1,0
A.J. Wynder,1965.0,0,0
Aaron Brooks,1985.0,0,0
Aaron Gordon,1996.0,0,0
Aaron Gray,1985.0,0,0
Aaron Harrison,1995.0,0,0
Aaron McKie,1973.0,1,0
Aaron Miles,1984.0,0,0
Aaron Swinson,1971.0,0,0
Aaron Williams,1972.0,2,0
Acie Earl,1971.0,0,0
Acie Law,1985.0,0,0
Adam Harrington,1981.0,0,0
Adam Keefe,1971.0,2,0
Adam Morrison,1985.0,2,2
Adonal Foyle,1976.0,1,0
Adonis Jordan,1971.0,0,0
Adonis Thomas,1994.0,0,0
Adreian Payne,1992.0,0,0
Adrian Branch,1964.0,1,1
Adrian Caldwell,1967.0,1,1
Adrian Dantley,1957.0,2,1
Adrian Griffin,1975.0,1,0
Al Harrington,1981.0,1,0
Al Horford,1987.0,0,0
Al Jefferson,1985.0,0,0
Al Thornton,1984.0,0,0
Al Wood,1959.0,0,0
Al-Farouq Aminu,1991.0,0,0
Alaa Abdelnaby,1969.0,1,0
Alan Anderson,1983.0,0,0
Alan Hardy,1958.0,0,0
Alan Henderson,1973.0,0,0
Alan Ogg,1968.0,0,0
Alan Williams,1993.0,0,0
Alando Tucker,1985.0,0,0
Albert King,1960.0,0,0
Alec Burks,1992.0,0,0
Alec Kessler,1967.0,0,0
Aleksandar Djordjevic,1968.0,0,0
Aleksandar Radojevic,1977.0,0,0
Alex Abrines,1994.0,0,0
Alex Acker,1983.0,0,0
Alex Blackwell,1971.0,0,0
Alex Bradley,1960.0,0,0
Alex English,1954.0,0,0
Alex Garcia,1981.0,0,0
Alex Kirk,1992.0,1,0
Alex Len,1994.0,0,0
Alex Poythress,1994.0,0,0
Alex Scales,1979.0,0,0
Alex Stepheson,1988.0,0,0
Alex Stivrins,1963.0,1,0
Alexander Johnson,1984.0,0,0
Alexander Volkov,1965.0,0,0
Alexey Shved,1989.0,0,0
Alexis Ajinca,1989.0,1,1
Alfredrick Hughes,1963.0,0,0
Allan Bristow,1952.0,0,0
Allan Houston,1972.0,1,0
Allan Ray,1985.0,0,0
Allen Crabbe,1993.0,0,0
Allen Iverson,1976.0,1,0
Allen Leavell,1958.0,2,0
Alonzo Gee,1988.0,0,0
Alonzo Mourning,1971.0,1,1
Alphonso Ford,1972.0,0,0
Alton Ford,1982.0,0,0
Alton Lister,1959.0,0,0
Alvan Adams,1955.0,1,0
Alvin Heggs,1968.0,0,0
Alvin Jones,1979.0,0,0
Alvin Robertson,1963.0,0,0
Alvin Scott,1956.0,0,0
Alvin Sims,1975.0,0,0
Alvin Williams,1975.0,0,0
Amal McCaskill,1974.0,0,0
Amar'e Stoudemire,1983.0,0,0
Amir Johnson,1988.0,0,0
Anderson Varejao,1983.0,5,2
Andrae Patterson,1976.0,0,0
Andray Blatche,1987.0,0,0
Andre Barrett,1983.0,0,0
Andre Brown,1982.0,0,0
Andre Dawkins,1992.0,0,0
Andre Drummond,1994.0,0,0
Andre Emmett,1983.0,0,0
Andre Iguodala,1984.0,3,2
Andre Miller,1977.0,0,0
Andre Moore,1965.0,0,0
Andre Owens,1981.0,0,0
Andre Roberson,1992.0,0,0
Andre Spencer,1965.0,0,0
Andre Turner,1965.0,1,0
Andrea Bargnani,1986.0,0,0
Andreas Glyniadakis,1982.0,0,0
Andrei Kirilenko,1982.0,0,0
Andres Guibert,1969.0,0,0
Andres Nocioni,1980.0,0,0
Andrew Bogut,1985.0,3,1
Andrew Bynum,1988.0,3,2
Andrew DeClercq,1974.0,0,0
Andrew Gaze,1966.0,1,1
Andrew Goudelock,1989.0,0,0
Andrew Harrison,1995.0,0,0
Andrew Lang,1967.0,0,0
Andrew Nicholson,1990.0,0,0
Andrew Toney,1958.0,2,1
Andrew Wiggins,1996.0,0,0
Andris Biedrins,1987.0,0,0
Andy Panko,1978.0,0,0
Andy Rautins,1987.0,0,0
Andy Toolson,1966.0,0,0
Anfernee Hardaway,1972.0,1,0
Ansu Sesay,1977.0,0,0
Antawn Jamison,1977.0,0,0
Anthony Avent,1970.0,1,0
Anthony Bennett,1994.0,0,0
Anthony Bonner,1969.0,1,0
Anthony Bowie,1964.0,1,0
Anthony Brown,1993.0,0,0
Anthony Carter,1976.0,0,0
Anthony Cook,1968.0,0,0
Anthony Davis,1994.0,0,0
Anthony Frederick,1965.0,0,0
Anthony Goldwire,1972.0,2,1
Anthony Grundy,1980.0,0,0
Anthony Johnson,1975.0,3,0
Anthony Jones,1963.0,0,0
Anthony Mason,1967.0,1,0
Anthony Miller,1972.0,1,0
Anthony Morrow,1986.0,0,0
Anthony Parker,1976.0,0,0
Anthony Peeler,1970.0,0,0
Anthony Pullard,1967.0,0,0
Anthony Randolph,1990.0,0,0
Anthony Roberson,1984.0,0,0
Anthony Roberts,1956.0,0,0
Anthony Taylor,1966.0,0,0
Anthony Tolliver,1986.0,0,0
Anthony Tucker,1970.0,0,0
Antoine Carr,1962.0,2,0
Antoine Rigaudeau,1972.0,0,0
Antoine Walker,1977.0,1,1
Antoine Wright,1985.0,0,0
Antonio Anderson,1986.0,0,0
Antonio Burks,1981.0,0,0
Antonio Daniels,1976.0,1,1
Antonio Davis,1969.0,0,0
Antonio Harvey,1971.0,0,0
Antonio Lang,1973.0,0,0
Antonio McDyess,1975.0,1,0
Antonis Fotsis,1982.0,0,0
Archie Goodwin,1995.0,0,0
Arinze Onuaku,1988.0,0,0
Armen Gilliam,1965.0,0,0
Armon Johnson,1990.0,0,0
Armond Hill,1954.0,0,0
Arnett Moultrie,1991.0,0,0
Aron Baynes,1987.0,2,1
Arron Afflalo,1986.0,0,0
Art Long,1973.0,0,0
Artis Gilmore,1950.0,0,0
Arvydas Macijauskas,1980.0,0,0
Arvydas Sabonis,1965.0,0,0
Ashraf Amaya,1972.0,0,0
Askia Jones,1972.0,0,0
Audie Norris,1961.0,0,0
Austin Croshere,1976.0,1,0
Austin Daye,1989.0,1,1
Austin Rivers,1993.0,0,0
Avery Bradley,1991.0,0,0
Avery Johnson,1966.0,1,1
Awvee Storey,1978.0,0,0
Axel Toupane,1993.0,0,0
B.J. Armstrong,1968.0,3,3
B.J. Tyler,1972.0,0,0
Baron Davis,1980.0,0,0
Barry Stevens,1963.0,0,0
Barry Sumpter,1966.0,0,0
Bart Kofoed,1965.0,0,0
Ben Bentil,1996.0,0,0
Ben Coleman,1962.0,0,0
Ben Davis,1973.0,1,0
Ben Gillery,1966.0,0,0
Ben Gordon,1984.0,0,0
Ben Handlogten,1974.0,0,0
Ben Hansbrough,1988.0,0,0
Ben McDonald,1963.0,0,0
Ben McLemore,1994.0,0,0
Ben Poquette,1956.0,0,0
Ben Uzoh,1989.0,0,0
Ben Wallace,1975.0,2,1
Beno Udrih,1983.0,2,2
Benoit Benjamin,1965.0,0,0
Bernard James,1986.0,0,0
Bernard King,1957.0,0,0
Bernard Robinson,1981.0,0,0
Bernard Thompson,1963.0,0,0
Bill Cartwright,1958.0,3,3
Bill Curley,1973.0,0,0
Bill Edwards,1972.0,0,0
Bill Garnett,1961.0,0,0
Bill Hanzlik,1958.0,0,0
Bill Jones,1967.0,0,0
Bill Laimbeer,1958.0,3,2
Bill Martin,1963.0,0,0
Bill Robinzine,1953.0,0,0
Bill Walton,1953.0,3,2
Bill Wennington,1964.0,3,3
Bill Willoughby,1958.0,1,0
Billy Donovan,1966.0,0,0
Billy Knight,1953.0,0,0
Billy McKinney,1956.0,0,0
Billy Owens,1970.0,0,0
Billy Paultz,1949.0,1,0
Billy Ray,1957.0,1,0
Billy Thomas,1976.0,0,0
Billy Thompson,1964.0,2,2
Bimbo Coles,1969.0,0,0
Bismack Biyombo,1993.0,0,0
Bison Dele,1970.0,1,1
Blair Rasmussen,1963.0,0,0
Blake Ahearn,1985.0,0,0
Blake Griffin,1990.0,0,0
Blue Edwards,1966.0,0,0
Bo Kimble,1967.0,0,0
Bo Outlaw,1972.0,0,0
Bob Dandridge,1948.0,4,2
Bob Gross,1954.0,1,1
Bob Hansen,1961.0,1,1
Bob Lanier,1949.0,0,0
Bob Martin,1970.0,0,0
Bob McAdoo,1952.0,4,2
Bob McCann,1965.0,0,0
Bob Miller,1957.0,0,0
Bob Sura,1974.0,1,1
Bob Thornton,1963.0,0,0
Bob Wilkerson,1955.0,0,0
Boban Marjanovic,1989.0,0,0
Bobby Brown,1985.0,0,0
Bobby Cattage,1959.0,0,0
Bobby Hurley,1972.0,0,0
Bobby Jackson,1974.0,0,0
Bobby Jones,1952.0,3,1
Bobby Jones,1984.0,0,0
Bobby Phills,1970.0,0,0
Bobby Portis,1996.0,0,0
Bobby Simmons,1981.0,0,0
Bojan Bogdanovic,1990.0,0,0
Boniface N'Dong,1978.0,0,0
Bonzi Wells,1977.0,0,0
Boris Diaw,1983.0,2,1
Bostjan Nachbar,1981.0,0,0
Bracey Wright,1985.0,0,0
Brad Branson,1959.0,0,0
Brad Daugherty,1966.0,0,0
Brad Davis,1956.0,0,0
Brad Holland,1957.0,1,1
Brad Lohaus,1965.0,0,0
Brad Miller,1977.0,0,0
Brad Sellers,1963.0,0,0
Brad Wright,1963.0,0,0
Bradley Beal,1994.0,0,0
Brandan Wright,1988.0,0,0
Branden Dawson,1994.0,0,0
Brandin Knight,1982.0,0,0
Brandon Armstrong,1981.0,2,0
Brandon Bass,1986.0,0,0
Brandon Davies,1992.0,0,0
Brandon Hunter,1981.0,0,0
Brandon Ingram,1998.0,0,0
Brandon Jennings,1990.0,0,0
Brandon Knight,1992.0,0,0
Brandon Roy,1985.0,0,0
Brandon Rush,1986.0,2,1
Brandon Williams,1976.0,1,1
Brant Weidner,1961.0,0,0
Brendan Haywood,1980.0,2,1
Brent Barry,1972.0,2,2
Brent Price,1969.0,0,0
Brent Scott,1972.0,0,0
Brett Szabo,1969.0,0,0
Brevin Knight,1976.0,0,0
Brian Cardinal,1978.0,1,1
Brian Cook,1981.0,3,0
Brian Davis,1971.0,0,0
Brian Evans,1974.0,0,0
Brian Grant,1973.0,0,0
Brian Howard,1968.0,0,0
Brian Martin,1963.0,0,0
Brian Oliver,1969.0,0,0
Brian Quinnett,1967.0,0,0
Brian Roberts,1986.0,0,0
Brian Rowsom,1966.0,0,0
Brian Scalabrine,1979.0,4,1
Brian Shaw,1967.0,4,3
Brian Skinner,1977.0,0,0
Brian Taylor,1952.0,0,0
Brian Winters,1953.0,0,0
Briante Weber,1993.0,1,1
Brice Johnson,1995.0,0,0
Britton Johnsen,1980.0,0,0
Brook Lopez,1989.0,0,0
Brook Steppe,1960.0,0,0
Brooks Thompson,1971.0,2,0
Bruce Bowen,1972.0,3,3
Bruce Douglas,1965.0,0,0
Bruce Flowers,1958.0,0,0
Bruce Kuczenski,1962.0,0,0
Bruno Caboclo,1996.0,0,0
Bruno Sundov,1981.0,0,0
Bryan Warrick,1960.0,0,0
Bryant Reeves,1974.0,0,0
Bryant Stith,1971.0,0,0
Bryce Cotton,1993.0,0,0
Bryce Dejean-Jones,1993.0,0,0
Bryce Drew,1975.0,0,0
Bryn Forbes,1994.0,0,0
Bryon Russell,1971.0,3,0
Bubba Wells,1975.0,0,0
Buck Johnson,1964.0,0,0
Buck Williams,1961.0,2,0
Buddy Hield,1994.0,0,0
Butch Carter,1959.0,0,0
Butch Graves,1962.0,0,0
Byron Dinkins,1968.0,0,0
Byron Houston,1970.0,0,0
Byron Irvin,1967.0,1,0
Byron Mullens,1990.0,0,0
Byron Scott,1962.0,6,3
C.J. McCollum,1992.0,0,0
C.J. Miles,1988.0,0,0
C.J. Watson,1985.0,0,0
C.J. Wilcox,1991.0,0,0
Cal Bowdler,1978.0,0,0
Calbert Cheaney,1972.0,0,0
Caldwell Jones,1951.0,3,0
Calvin Booth,1977.0,0,0
Calvin Garrett,1957.0,2,0
