Year,Inductees,Pos.,Achievements,Ref.
1959,Chuck Hyatt,G,National championship (,[3]
1959,Hank Luisetti,F,"3 Pacific Coast Conference championships (Stanford, 1936–38); National championship (",[4]
1959,George Mikan,C,All-America (,[5]
1959,John Schommer,G,Big Ten Championships (,[6]
1960,Vic Hanson,G,Helms Foundation Championship (,[7]
1960,Ed Macauley,C-F,All-America (,[8]
1960,Branch McCracken,F,"Led Indiana in scoring (1928–30); All-Big Ten First Team (1928–30); set the Big Ten record for points (147) as a senior (1930); Helms Foundation All-America (1930); Coach of the Year (1940, 1953)",[9]
1960,Charles Murphy,C,Big Ten co-championships (,[10]
1960,John Wooden,G,Helms Foundation All-America (,[11]
1961,Bennie Borgmann,G,#1 scorer in the 1920s; earned fifteen scoring titles with various leagues (1922–35); led the ,[12]
1961,Forrest DeBernardi,C,AAU championships (,[13]
1961,Bob Kurland,C,All-America (1944–46); NCAA Championships (,[14]
1961,Andy Phillip,G-F,"Consensus two-time All-America (1943, 1947); National College Player of the Year (",[15]
1961,John Roosma,G,3-time All-American selection at Army; 3-time All-Eastern selection at ,[16]
1961,Chris Steinmetz,G,Led Wisconsin National Championship Game (1905);  Western championship (1905); charter member of Helms Foundation Hall of Fame; enshrined in ,[17]
1961,Ed Wachter,C,"Played 8 different leagues and with independent teams (1899–1924); Member Troy championship team in Hudson River (1910–11) and New York State Leagues (1912–13, 1915); credited by many with inventing the ",[18]
1962,Jack McCracken,F,"Second place in National High School Tournament in Chicago (Classen High School, 1929); 8-time AAU All-America (1932, 1935, 1937–39, 1940, 1942, 1945); 3 AAU national titles (1937, 1939, 1942)",[19]
1962,Pat Page,G,"1 National AAU title (University of Chicago, 1907); 3 National championships (1908, 1909, 1910); Helms Foundation All-America (1908–10); Helms Foundation National Player of the Year (1910)",[20]
1962,Barney Sedran,G,Shortest player to be inducted in the Hall of Fame; 1 ,[21]
1962,John Thompson,F,All-America (,[22]
1963,Robert Gruenig,C,"AAU All-America First-Team (1937–40, 1942–46, 1948); AAU championship (Denver Safeway, 1937; Denver Nuggets, 1939; Denver American Legion, 1942)",[23]
1964,Bud Foster,F,"All-America (1930); Big Ten Conference titles (1935, 1941, 1947); NCAA Championship (",[24]
1964,Nat Holman,G,Eastern League championships (1921–22); player-coach of the ,[25]
1964,John Russell,G,ABL championship as a player-coach (,[26]
1966,Joe Lapchick,C,"Interstate League championship (Holyoke Reds, 1922); ABL championships (Original Celtics, 1927–28); American Basketball League titles (Cleveland Rosenblums, 1929–30); NIT championships as coach (",[27]
1969,Dutch Dehnert,F,"Famed member of the Original Celtics of New York in the 1920s, also a successful pro coach.",[28]
1970,Bob Davies,G-F,"'The Harrisburg Houdini ', star ballhandling guard of the late 1940s and early 1950s. NBA All-Star for the Rochester Royals multiple times.",[29]
1971,Bob Cousy,G,Star point guard for the ,[30]
1971,Bob Pettit,F,"Star NBA big man of the late 1950s and early 1960s, NBA Most Valuable Player, led 1958 Hawks to NBA title. The first NBA player to net 20,000 career points.",[31]
1972,Paul Endacott,F,"Helms Athletic Foundation Championship with Kansas, 1923",[32]
1972,Marty Friedman,G,"Hudson River Valley League championship with Newburgh Tenths, 1911–12",[33]
1973,John Beckman,G,"""Iron Man"" and """,[34]
1973,Dolph Schayes,F-C,"1950s NBA star for the Syracuse Nationals, led them to 1955 NBA title.",[35]
1974,Ernest Schmidt,F,"Central Conference leading scorer, 1931, 1932, 1933",[36]
1975,Joe Brennan,G,"Metropolitan Basketball League championship with Brooklyn, 1922, 1924, 1925",[37]
1975,Bill Russell,C,Summer Olympics,[38]
1975,Robert Vandivier,G,"State championships with Franklin High School, 1920–22",[39]
1976,Tom Gola,G-F,"major college basketball star at LaSalle in the 1950s, then star 6' 6 guard -forward for the Philadelphia Warriors in late 1950s, early 1960s.",[40]
1976,Ed Krause,C,"Helms Foundation All-America at Notre Dame, 1932",[41]
1976,Bill Sharman,G,"Star shooting guard for the Boston Celtics. Four-time NBA champion (1957, 1959–1961); eight-time NBA All-Star (1953–1960); member, NBA 50th Anniversary Team.",[42]
1977,Elgin Baylor,F,"Gravity-defying star forward for the Minneapolis-Los Angeles Lakers in the 1960s. NBA Rookie of the Year (1959); eleven-time NBA All-Star (1959–1965, 1967–1970); member, NBA 50th Anniversary All-Time Team.",[43]
1977,Lauren Gale,F,"All Pacific Coast Conference First-Team, 1938, 1939",[44]
1977,William Johnson,C,"First Team Big Six Conference at Kansas, 1932, 1933",[45]
1978,Paul Arizin,F,"Line drive shooter, scoring star at Villanova, then for the Philadelphia Warriors in the 1950s, 'Pitchin Paul'.",[46]
1978,Joe Fulks,F,"The first Philadelphia Warriors NBA star, high scoring 6' 5 forward of the 1940s, the first major star of The Basketball Association Of America, the league that became the NBA in 1949.",[47]
1978,Cliff Hagan,F,"' Lil Abner ', remarkably tough 6' 5 forward, played college ball at Kentucky, star for the St. Louis Hawks, helped them win 1958 NBA title. Remarkable athlete, was player /coach for years, later played in the ABA in the late 1960s as well.",[48]
1978,Jim Pollard,F,"'Jumping Jim', college star at Stanford, high-leaping star forward for the Minneapolis Lakers in the 1950s. Five-time NBA champion (1949, 1950, 1952–1954); four-time NBA All-Star (1951, 1952, 1954, 1955); NCAA champion (Stanford, 1942).",[49]
1979,Wilt Chamberlain,C,4× ,[50]
1980,Jerry Lucas,F-C,"high school Ohio phenom, then led Ohio State to three NCAA Finals, star of 1960's USA Olympic team, all-pro big man for the Cincinnati Royals.",[51]
1980,Oscar Robertson,PG,NBA Champion (1971),[52]
1980,Jerry West,G,Star guard for the Los Angeles Lakers. One of the ,[53]
1981,Tom Barlow,C,"Defeated Original Celtics and New York Rens as a member of Philadelphia SPHAS, 1926",[54]
1982,Hal Greer,G,"consistent star scorer for the Philadelphia 76ers, NBA all-star",[55]
1982,Slater Martin,G,"star ball handler for the title-winning Minneapolis Lakers of the 1950s, then also the 1958 St. Louis Hawks.",[56]
1982,Frank Ramsey,F-G,star forward at Kentucky then for the Boston Celtics in the 1950s and 1960s.The first of Red Auerbach's ' Sixth Man '  stars.,[57]
1982,Willis Reed,C,"star big man who starred at Grambling, then for the New York Knickerbockers. Led Knicks to 1970 NBA title. Later also a pro coach.",[58]
1983,Bill Bradley,F-G,Three-time All-American at ,[59]
1983,Dave DeBusschere,F,"' Defensive Dave ', All-American for U. Of Detroit, then a NBA star for the Detroit Pistons and New York Knickerbockers. The youngest player / coach in NBA history for Detroit, age 24. Later, also commissioner of the ABA.",[60]
1983,Jack Twyman,F,All-America at ,[61]
1984,John Havlicek,F,"' Hondo ', legendary basketball athlete, ' Sixth Man ' star for the title-winning Boston Celtics, then star forward as starter. Played 17 years, scored over 25,000 NBA points.",[62]
1984,Sam Jones,G,Star shooting guard from small college in North Carolina,[63]
1985,Al Cervi,G-F,"tough star guard for the Rochester Royals in the 1940s, then player / coach of Syracuse Nationals. Won championships with both teams.",[64]
1985,Nate Thurmond,C-F,"' Great Nate ' star center for the San Francisco Warriors in the 1960s, known for his defensive intensity. Finished career with the Cleveland Cavaliers.",[65]
1986,Billy Cunningham,F,"Star forward for the Philadelphia 76s, NBA All-Star (",[66]
1986,Tom Heinsohn,F,"8x NBA Champion (1957, 1959-65)
",[67]
1987,Rick Barry,F,NBA Champion (1975),[68]
1987,Walt Frazier,G,"' Clyde ', legendary quick-handed star guard for the New York Knickerbockers in the 1970s.",[69]
1987,Bob Houbregs,C-F,"Helms Foundation Player of the Year, 1953",[70]
1987,Pete Maravich,G,"NCAA Division I All-Time Leading Scorer
",[71]
1987,Bobby Wanzer,G,"NBA championship with Rochester Royals, 1951",[72]
1988,Clyde Lovellette,C-F,"Star big man of the 1950s, for Kansas as collegian, Phillips 66ers in the NIBL, then for four NBA teams.",[73]
1988,Bobby McDermott,G,star scoring guard  and player coach for the Fort Wayne Zollner Pistons during The Wars Years of the 1940s.,[74]
1988,Wes Unseld,C-F,"NBA MVP (1969)
",[75]
1989,William Gates,F,Two-time World Professional Tournament championship with New York Rens (1939) and Washington Bears (1943),[76]
1989,K.C. Jones,G,"NCAA championship with USF, 1955, 1956",[77]
1989,Lenny Wilkens,G,"Called ' Lefty ' as star passing /scoring guard player for St. Louis Hawks, Seattle SuperSonics and Cleveland Cavaliers. Then became outstanding pro coach for two of those teams. Had two Hall Of Fame careers, one as player, one as coach.",[78]
1990,Dave Bing,G,"All-America at Syracuse University, 1966",[79]
