Player,Birth Year,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year_start,Year_end,Length,HOF
A.C. Green,1964.0,1278.0,832.0,36552.0,4544.0,9202.0,0.49380569441425776,124.0,489.0,0.25357873210633947,4420.0,8713.0,0.507287960518765,0.5005433601391002,3119.0,4250.0,0.7338823529411764,3354.0,6119.0,9473.0,1400.0,1033.0,546.0,1434.0,2436.0,12331.0,14.433308710877656,0.5568551300578035,0.05314062160399913,0.46185611823516626,10.619840227620925,18.678400634712187,14.707756073539064,5.433820310790107,1.4251614138761217,0.9180291092142702,11.488643576274896,14.752930072225869,58.20000000000001,41.2,99.40000000000002,0.13062852921864743,-0.045704749398117785,0.45822116436857085,0.4127845261545196,22.5,1986.0,2001.0,16.0,0
A.J. Bramlett,1977.0,8.0,0.0,61.0,4.0,21.0,0.19047619047619047,0.0,0.0,0.0,4.0,21.0,0.19047619047619047,0.19047619047619047,0.0,0.0,0.0,12.0,10.0,22.0,0.0,1.0,0.0,3.0,13.0,8.0,-0.4,0.19047619047619047,0.0,0.0,21.7,18.5,20.1,0.0,0.8,0.0,12.5,17.1,-0.2,0.1,-0.2,-0.129,-10.5,-6.3,-16.8,-0.2,2000.0,2000.0,1.0,0
A.J. English,1968.0,151.0,18.0,3108.0,617.0,1418.0,0.43511988716502115,9.0,65.0,0.13846153846153847,608.0,1353.0,0.4493717664449372,0.43829337094499293,259.0,333.0,0.7777777777777778,140.0,175.0,315.0,320.0,57.0,24.0,203.0,287.0,1502.0,11.617857142857144,0.4800194308797587,0.045839210155148094,0.23483779971791255,4.892857142857143,6.253571428571428,5.546428571428571,15.696428571428571,0.8999999999999999,0.4392857142857143,11.725000000000001,23.835714285714285,-0.4,1.4,1.1,0.017107142857142855,-2.232142857142857,-2.8892857142857142,-5.121428571428571,-2.4,1991.0,1992.0,2.0,0
A.J. Guyton,1979.0,80.0,14.0,1246.0,166.0,440.0,0.37727272727272726,73.0,193.0,0.37823834196891193,93.0,247.0,0.3765182186234818,0.4602272727272727,37.0,45.0,0.8222222222222222,22.0,58.0,80.0,147.0,20.0,12.0,62.0,58.0,442.0,10.891332263242376,0.4806437581557199,0.43863636363636366,0.10227272727272728,2.030577849117175,5.6477528089887645,3.7651685393258423,20.855939004815408,0.8841091492776887,0.7418138041733547,11.692776886035313,19.328089887640452,0.30000000000000004,-0.1,0.30000000000000004,0.009784911717495987,-1.0230337078651683,-4.411556982343499,-5.434590690208668,-1.0,2001.0,2003.0,3.0,0
A.J. Hammons,1993.0,22.0,0.0,163.0,17.0,42.0,0.40476190476190477,5.0,10.0,0.5,12.0,32.0,0.375,0.4642857142857143,9.0,20.0,0.45,8.0,28.0,36.0,4.0,1.0,13.0,10.0,21.0,48.0,8.4,0.4724409448818898,0.23809523809523808,0.47619047619047616,5.4,20.9,12.8,3.8,0.3,7.200000000000001,16.4,17.6,-0.2,0.2,0.0,-0.001,-7.5,1.9,-5.6,-0.1,2017.0,2017.0,1.0,0
A.J. Price,1987.0,261.0,25.0,3929.0,549.0,1444.0,0.3801939058171745,218.0,690.0,0.3159420289855073,331.0,754.0,0.4389920424403183,0.4556786703601108,207.0,279.0,0.7419354838709677,68.0,309.0,377.0,567.0,125.0,9.0,229.0,237.0,1523.0,12.177144311529652,0.48603487451811384,0.4778393351800554,0.19321329639889195,1.9253499618223464,8.730898447442096,5.3062102316110975,23.628378722321198,1.605370323237465,0.1726902519725121,12.808704504963096,20.4444896920336,1.0999999999999999,3.4000000000000004,4.7,0.05786637821328582,-0.3506235683379995,-2.058335454314075,-2.400712649529142,-0.4,2010.0,2015.0,6.0,0
A.J. Wynder,1965.0,6.0,0.0,39.0,3.0,12.0,0.25,0.0,1.0,0.0,3.0,11.0,0.2727272727272727,0.25,6.0,8.0,0.75,1.0,2.0,3.0,8.0,1.0,0.0,4.0,1.0,12.0,7.6,0.3865979381443299,0.08333333333333333,0.6666666666666666,3.1,5.2,4.2,24.0,1.3,0.0,20.5,21.1,-0.1,0.0,0.0,-0.051,-5.9,-3.5,-9.4,-0.1,1991.0,1991.0,1.0,0
Aaron Brooks,1985.0,613.0,182.0,13250.0,2233.0,5409.0,0.4128304677389536,809.0,2187.0,0.36991312299954276,1424.0,3222.0,0.4419615145872129,0.4876132371972638,909.0,1084.0,0.8385608856088561,247.0,815.0,1062.0,1905.0,353.0,87.0,989.0,1189.0,6184.0,13.373728301886793,0.5253178750790015,0.4043261231281198,0.20040672952486596,2.1012150943396226,6.8769283018867915,4.493003773584906,23.67067924528302,1.347577358490566,0.4935622641509434,14.471132075471699,23.162996226415096,10.4,8.6,19.1,0.06922173584905661,0.6695018867924528,-2.4245962264150944,-1.7386566037735847,0.7999999999999999,2008.0,2017.0,10.0,0
Aaron Gordon,1996.0,205.0,117.0,4958.0,760.0,1652.0,0.4600484261501211,132.0,457.0,0.2888402625820569,628.0,1195.0,0.5255230125523013,0.5,329.0,471.0,0.6985138004246284,316.0,765.0,1081.0,311.0,144.0,117.0,193.0,408.0,1981.0,14.894715611133522,0.5327445622942708,0.27663438256658596,0.2851089588377724,6.867123840258168,17.4002218636547,12.05246066962485,9.749697458652683,1.459076240419524,1.9043565954013715,9.555929810407424,18.308430818878584,5.5,4.6000000000000005,10.100000000000001,0.09710064542154095,-0.3173457039128681,0.26551028640580876,-0.09818475191609514,2.4000000000000004,2015.0,2017.0,3.0,0
Aaron Gray,1985.0,318.0,87.0,3851.0,440.0,864.0,0.5092592592592593,0.0,3.0,0.0,440.0,861.0,0.5110336817653891,0.5092592592592593,186.0,331.0,0.5619335347432024,431.0,759.0,1190.0,207.0,94.0,87.0,265.0,678.0,1066.0,11.466398338094002,0.5279109385523553,0.003472222222222222,0.38310185185185186,12.915891976110101,23.12305894572838,18.00532329265126,8.419942871981304,1.2839781874837706,1.7639833809400152,21.24827317579849,15.072266943651,1.4000000000000001,4.9,6.1,0.0771763178395222,-2.7827577252661646,0.9322253960010387,-1.8367437029343028,0.10000000000000003,2008.0,2014.0,7.0,0
